,Date,Lake,Counted.By,Total,X,UA,UJ,Uninfected.Males,Uninfected.Ephip,A.Pasteuria,J.Pasteuria,Male.Pasteuria,Ephip.Pastueria,Brood,E.Brood,A.MicG,J.MicG,Male.MicG,Ephip.MicG,A.Spiro,J.Spiro,Male.Spiro,Ephip.Spiro,A.White.Spiro,J.White.Spiro,Male.White.Spiro,E.White.Spiro,A.Yellow.Spiro,A.Metsch,J.Metsch,Male.Metsch,Ephip.Metsch,A.Larssonia,A.Spiderman,J.Spiderman,E.Spiderman,Male.Spiderman,A.MicG...Past,J.MicG...Past,A.MicG...Spiro,A.Metsch...Brood,AMicG...Brood,A.MicG...Metsch,J.MicG...Metsch,M.MicG...Metsch,A.Metsch...Past,J.Metsch...Past,A.MicG...White.Spiro,Male.white.spiro...metsch,A.Past...Spider,M.Past...Spider,Julian.Day,Density
1,7/27/17,LittleAppleton,MAR,265,0,70,185,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,235211.9111
2,8/10/17,LittleAppleton,KKH,308,0,97,179,0,0,7,10,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,305732.4841
3,8/28/17,LittleAppleton,MAR,359,0,49,183,0,0,6,61,0,0,0,0,39,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,107070.87
4,9/8/17,LittleAppleton,KKH,321,0,46,163,0,0,17,82,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,128571.0446
5,9/18/17,LittleAppleton,MAR,206,0,22,71,0,0,18,55,0,0,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,261,67080.54503
6,10/3/17,LittleAppleton,KKH,249,0,101,51,2,0,3,79,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,11466.75983
7,10/7/17,LittleAppleton,CDG - Camden's project,116,0,36,30,1,0,5,31,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,280,6880.0559
8,10/13/17,LittleAppleton,KKH,171,0,62,83,13,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,4586.703934
9,10/27/17,LittleAppleton,CDG,203,0,90,100,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,10033.41485
10,10/31/17,LittleAppleton,KKH,154,0,41,88,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,4013.365942
11,11/13/17,LittleAppleton,MAR,220,0,76,80,23,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,14333.44979
