"clone","para_time_point","n","remove"
17,"1",6,"n"
22,"1",7,"n"
29,"1",19,"n"
31,"1",2,"y"
211,"2",6,"n"
220,"2",10,"n"
223,"2",8,"n"
224,"2",1,"y"
227,"2",8,"n"
234,"2",9,"n"
240,"2",9,"n"
241,"2",10,"n"
248,"2",8,"n"
249,"2",8,"n"
304,"1",10,"n"
304,"3",10,"n"
308,"1",9,"n"
308,"3",10,"n"
311,"1",8,"n"
311,"3",10,"n"
312,"1",2,"y"
312,"3",4,"n"
313,"1",10,"n"
313,"3",5,"n"
323,"1",4,"n"
323,"3",6,"n"
324,"1",10,"n"
324,"3",9,"n"
329,"1",2,"y"
329,"3",5,"n"
330,"1",8,"n"
330,"3",10,"n"
333,"1",10,"n"
333,"3",10,"n"
335,"1",2,"y"
337,"1",7,"n"
337,"3",9,"n"
339,"1",8,"n"
339,"3",6,"n"
343,"1",4,"n"
343,"3",9,"n"
