"clone","para_time_point","n"
17,"1",6
17,"none",3
22,"1",7
22,"none",3
29,"1",19
29,"none",5
31,"1",2
31,"none",1
211,"2",6
220,"2",10
220,"none",5
223,"2",8
223,"none",4
224,"2",1
227,"2",8
234,"2",9
240,"2",9
240,"none",5
241,"2",10
248,"2",8
248,"none",5
249,"2",8
304,"1",10
304,"3",10
304,"none",4
308,"1",9
308,"3",10
311,"1",8
311,"3",10
312,"1",2
312,"3",4
312,"none",2
313,"1",10
313,"3",5
323,"1",4
323,"3",6
324,"1",10
324,"3",9
324,"none",5
329,"1",2
329,"3",5
330,"1",8
330,"3",10
333,"1",10
333,"3",10
335,"1",2
337,"1",7
337,"3",9
339,"1",8
339,"3",6
339,"none",3
343,"1",4
343,"3",9
